X,Y,Complain_Number,Time,Day,Main_Street,Second_Street,Quadrant,On_Street,Latitude,Longitude,Type,Injured,Vehicles,Bikes,Fatalities,GeocodeError,FID
-77.03196384,38.89209354,12034954,2012-03-13T14:57:00.000Z,Tue,FOURTEENTH ST,CONSTITUTION AVE,NW,Within 100ft,38.892094,-77.031964,Side Swiped,1,2,1,0,,73
-77.0219192,38.91112376,12035198,2012-03-13T23:10:00.000Z,Tue,SEVENTH ST,Q ST,NW,At Intersect,38.911124,-77.021919,19,0,2,1,0,,74
-77.03927495,38.9140919,12035617,2012-03-14T20:14:00.000Z,Wed,NEW HAMPSHIRE AVE,S ST,NW,At Intersect,38.914092,-77.039275,Other,1,2,1,0,,75
-77.04268424,38.92266111,12035787,2012-03-15T01:00:00.000Z,Wed,COLUMBIA RD,EIGHTEENTH ST,NW,Within 100ft,38.922661,-77.042684,Other,1,2,1,0,,76
-77.01991848,38.90146933,12036500,2012-03-16T12:06:00.000Z,Fri,SIXTH ST,MASSACHUSETTS AVE,NW,Within 100ft,38.901469,-77.019918,Right Turn Hit Ped.,1,2,1,0,,77
-77.02703896,38.9247649,12036983,2012-03-17T07:15:00.000Z,Sat,ELEVENTH ST,FAIRMONT ST,NW,Within 100ft,38.924765,-77.027039,Left Turn Hit Veh.,1,2,1,0,,78
-77.02962301,38.90483491,12037097,2012-03-17T17:11:00.000Z,Sat,THIRTEENTH ST,MASSACHUSETTS AVE,NW,Within 100ft,38.904835,-77.029623,Side Swiped,1,2,1,0,,79
-77.04342358,38.91557342,12037225,2012-03-17T22:42:00.000Z,Sat,NINTEENTH ST,T ST,NW,At Intersect,38.915573,-77.043424,Head On,1,2,1,0,,80
-76.99844562,38.90132409,12038720,2012-03-21T01:45:00.000Z,Tue,SIXTH ST,I ST,NE,At Intersect,38.901324,-76.998446,Right Angle,1,2,1,0,,81
-76.93100032,38.87602756,12038776,2012-03-21T02:51:00.000Z,Tue,SOUTHERN AVE,BENNING RD,SE,At Intersect,38.876028,-76.931,Straight Hit Ped.,0,1,1,0,,82
-76.95580324,38.88599746,12039151,2012-03-21T21:00:00.000Z,Wed,MINNESOTA AVE,C ST,SE,Within 100ft,38.885997,-76.955803,Straight Hit Ped.,0,1,1,0,,83
-77.01216026,38.90626902,12039545,2012-03-22T20:04:00.000Z,Thu,FIRST ST,NEW YORK AVE,NW,At Intersect,38.906269,-77.01216,Other,1,1,1,0,,84
-77.00056848,38.91810637,12039817,2012-03-23T05:27:00.000Z,Fri,FOURTH ST,V ST,NE,At Intersect,38.918106,-77.000568,Right Angle,0,2,1,0,,85
-77.04112541,38.90566381,12039917,2012-03-23T12:22:00.000Z,Fri,CONNECTICUT AVE,RHODE ISLAND AVE,NW,At Intersect,38.905664,-77.041125,Other,1,2,1,0,,86
-77.0417048,38.89959423,12039937,2012-03-23T13:05:00.000Z,Fri,EIGHTEENTH ST,PENNSYLVANIA AVE,NW,At Intersect,38.899594,-77.041705,Right Angle,1,2,1,0,,87
-76.98551102,38.88867167,12039999,2012-03-23T14:15:00.000Z,Fri,A ST,FOURTEENTH ST,SE,Within 100ft,38.888672,-76.985511,Head On,0,1,1,0,,88
-77.00203811,38.89733572,12040050,2012-03-23T16:50:00.000Z,Fri,F ST,THIRD ST,NE,At Intersect,38.897336,-77.002038,Straight Hit Ped.,1,1,1,0,,89
-77.00204047,38.87928572,12041421,2012-03-26T13:23:00.000Z,Mon,THIRD ST,I ST,SE,At Intersect,38.879286,-77.00204,Left Turn Hit Ped.,1,1,1,0,,90
,,12041481,2012-03-26T15:42:00.000Z,Mon,FIFTH ST,OLGATHORPE ST,NW,Not at Inter,,,Right Angle,1,2,1,0,1,91
-76.99352969,38.90372816,12041482,2012-03-26T15:37:00.000Z,Mon,WEST VIRGINIA AVE,L ST,NE,Within 100ft,38.903728,-76.99353,Straight Hit Ped.,0,1,1,0,,92
-77.03194927,38.9088381,12041486,2012-03-26T13:50:00.000Z,Mon,FOURTEENTH ST,RHODE ISLAND AVE,NW,Not at Inter,38.908838,-77.031949,Other,1,1,1,0,,93
-77.00905089,38.9107951,12041721,2012-03-27T00:30:00.000Z,Mon,FLORIDA AVE,NORTH CAPITOL ST,BN,At Intersect,38.910795,-77.009051,Right Turn Hit Veh.,1,2,1,0,,94
-77.00203819,38.90020344,12042553,2012-03-28T19:45:00.000Z,Wed,THIRD ST,H ST,NE,At Intersect,38.900203,-77.002038,Side Swiped,1,1,1,0,,95
-77.00728154,38.95517078,12042556,2012-03-28T21:10:00.000Z,Wed,RIGGS RD,ROCK CREEK CHURCH RD,NE,At Intersect,38.955171,-77.007282,Right Angle,0,2,1,0,,96
-77.03364923,38.89640285,12042639,2012-03-28T23:39:00.000Z,Wed,PENNSYLVANIA AVE,FIFTEENTH ST,NW,Within 100ft,38.896403,-77.033649,Left Turn Hit Veh.,1,2,1,0,,97
-77.0493408,38.90963539,12042920,2012-03-29T14:30:00.000Z,Thu,TWENTY THIRD ST,P ST,NW,Within 100ft,38.909635,-77.049341,Rear End,0,2,1,0,,98
-77.01892571,38.89612816,12043156,2012-03-29T23:20:00.000Z,Thu,E ST,FIFTH ST,NW,Within 100ft,38.896128,-77.018926,Parked Vehicle,1,1,1,0,,99
-77.03195506,38.89549897,12044068,2012-03-31T20:35:00.000Z,Sat,FOURTEENTH ST,PENNSYLVANIA AVE,NW,At Intersect,38.895499,-77.031955,Side Swiped,1,2,1,0,,100
